LAT;LON;YEAR;DOY;PRECTOT;WS2M;RH2M;T2MDEW;PS;ALLSKY;T2M
50.09881;18.47511;2000;1;0.12;1.57;90.9;-7.57;99.37;3.53;-6.6
50.09881;18.47511;2000;2;0.57;1.56;93.84;-5.41;99.51;2.63;-4.62
50.09881;18.47511;2000;3;0.56;3.24;94.02;-2.92;99.32;2.09;-2.1
50.09881;18.47511;2000;4;1.05;3.67;90.4;-3.49;98.91;3.35;-2.15
50.09881;18.47511;2000;5;1.53;4.01;93.7;-1.35;98.77;4.72;-0.41
50.09881;18.47511;2000;6;0.06;1.93;94.69;-4.09;99.3;5.04;-3.38
50.09881;18.47511;2000;7;0.18;3.5;92.52;-5.26;99.34;2.2;-4.26
50.09881;18.47511;2000;8;0.04;4.3;89.89;-5.63;99.36;3.96;-4.35
50.09881;18.47511;2000;9;0.24;3.63;88.52;-7;99.42;3.53;-5.64
50.09881;18.47511;2000;10;0.61;1.41;95.52;-3.6;100.11;2.3;-2.92
50.09881;18.47511;2000;11;0.15;0.72;85.56;-5.82;100.72;2.81;-3.88
50.09881;18.47511;2000;12;0.01;2.17;93.28;-8.69;100.41;5.62;-8.14
50.09881;18.47511;2000;13;0.02;3.93;87.87;-9.06;99.66;5.65;-7.68
50.09881;18.47511;2000;14;0.09;2.4;90.83;-7.96;99.46;2.52;-7.01
50.09881;18.47511;2000;15;0.57;1.65;92.23;-8.1;99.68;2.16;-7.35
50.09881;18.47511;2000;16;0.82;2.65;91.54;-6.22;99.65;3.56;-5.25
50.09881;18.47511;2000;17;5.36;6.67;95.16;-0.43;97.58;4.07;0.49
50.09881;18.47511;2000;18;3.43;6.2;90.77;-1.52;96.96;3.89;-0.18
50.09881;18.47511;2000;19;1.47;5.83;83.69;-4.87;98.28;3.96;-2.62
50.09881;18.47511;2000;20;4.54;5.34;89.43;-4.56;98.47;4.25;-2.96
50.09881;18.47511;2000;21;6.83;5.95;90.48;-4.41;97.48;3.38;-2.93
50.09881;18.47511;2000;22;1.4;3.5;83.67;-9.76;98.17;4.82;-7.99
50.09881;18.47511;2000;23;2.81;2.33;89.3;-10.19;98.1;4.36;-9.16
50.09881;18.47511;2000;24;1.08;1.52;90.78;-13.42;98.88;4.39;-12.89
50.09881;18.47511;2000;25;0.34;2.47;86.39;-13.15;99.46;4.97;-12.17
50.09881;18.47511;2000;26;0.89;4.18;90.53;-7.48;99.23;3.31;-6.12
50.09881;18.47511;2000;27;0.93;4.54;92.84;-2.3;99.16;3.82;-1.26
50.09881;18.47511;2000;28;0.25;4.27;85.93;-6.01;98.58;3.38;-4.2
50.09881;18.47511;2000;29;5.2;6.26;93.01;-2.27;97.4;4.25;-1.05
50.09881;18.47511;2000;30;2.62;6.05;85.71;-0.36;97.23;5.87;1.79
50.09881;18.47511;2000;31;3.19;6.31;90.36;1.75;98.11;4.32;3.25
50.09881;18.47511;2000;32;0.42;3.65;99.22;2.6;98.85;3.56;2.76
50.09881;18.47511;2000;33;0.41;4.15;92.04;2.18;98.12;3.06;3.38
50.09881;18.47511;2000;34;1.1;5.83;84.79;-0.3;98.89;5.08;1.99
50.09881;18.47511;2000;35;2.41;4.31;85.89;-2.3;99.98;7.06;-0.2
50.09881;18.47511;2000;36;3.02;4.97;94.22;3.57;99.26;3.02;4.47
50.09881;18.47511;2000;37;0.07;3.26;92.07;3.98;99.24;6.73;5.23
50.09881;18.47511;2000;38;0.07;4.37;91.39;3.31;98.64;5.47;4.6
50.09881;18.47511;2000;39;2.74;5.41;88.2;3.11;97.71;3.46;4.92
50.09881;18.47511;2000;40;2;5.64;79.7;0.26;97.77;5.98;3.59
50.09881;18.47511;2000;41;1.13;3.67;86.64;-0.12;98.97;5;1.87
50.09881;18.47511;2000;42;1.7;2.96;95.85;-0.68;99.29;3.28;-0.09
50.09881;18.47511;2000;43;0.1;1.7;89.02;-0.81;99.46;7.2;0.77
50.09881;18.47511;2000;44;2.09;4.42;85.2;-0.66;98.52;6.66;1.56
50.09881;18.47511;2000;45;3.03;3.93;88.72;-2.37;98.58;4.82;-0.77
50.09881;18.47511;2000;46;2.11;4.12;92.65;-1.35;98.4;3.67;-0.24
50.09881;18.47511;2000;47;0.75;4.89;89.82;0.39;97.27;5.36;1.95
50.09881;18.47511;2000;48;0.17;1.52;80.46;-3.9;97.2;5.33;-1.06
50.09881;18.47511;2000;49;0.44;2.28;82.3;-3.79;97.79;6.8;-1.24
50.09881;18.47511;2000;50;1.56;2.4;87.06;-2.54;97.45;4.39;-0.65
50.09881;18.47511;2000;51;0.88;2.28;84.33;-3.03;98.35;5.11;-0.74
50.09881;18.47511;2000;52;0.57;2.75;83.29;-5.06;99.38;5.18;-2.8
50.09881;18.47511;2000;53;0.19;1.33;78.87;-5.97;99.5;7.52;-3.03
50.09881;18.47511;2000;54;1.25;1.62;87.31;-3.85;99.28;6.16;-2.06
50.09881;18.47511;2000;55;2.78;3.08;86.58;-2.58;99.3;9.61;-0.55
50.09881;18.47511;2000;56;8.09;3.82;95.75;0.69;98.72;3.96;1.3
50.09881;18.47511;2000;57;0.52;3.54;87.98;-1.05;99.71;5.44;0.69
50.09881;18.47511;2000;58;0.12;1.77;84.13;-1.28;100.06;6.73;1.11
50.09881;18.47511;2000;59;0;8.1;71.65;-2.08;99.41;13.75;2.48
50.09881;18.47511;2000;60;0.1;5.66;79;-0.12;98.74;8.1;3.27
50.09881;18.47511;2000;61;0.47;4.73;88.98;3.02;97.27;9.36;4.69
50.09881;18.47511;2000;62;2.02;3.16;87.71;-0.92;98.16;8.32;0.96
50.09881;18.47511;2000;63;1.37;6.33;82.4;-0.9;97.84;6.91;1.89
50.09881;18.47511;2000;64;5.9;4.03;84.61;-0.79;97.78;7.7;1.63
50.09881;18.47511;2000;65;2.02;4.29;77.59;-4.35;99.05;9.43;-1.05
50.09881;18.47511;2000;66;0.53;3.62;80.68;-2.43;99.54;8.86;0.47
50.09881;18.47511;2000;67;0.49;5.41;83.43;1.17;98.73;10.12;3.87
50.09881;18.47511;2000;68;6.56;6.22;88.45;4.92;98.22;6.08;6.71
50.09881;18.47511;2000;69;14.95;7.26;88.8;6.65;97.53;4.72;8.52
50.09881;18.47511;2000;70;1.15;3.94;78.82;-3.26;98.73;13.14;0.05
50.09881;18.47511;2000;71;8.12;4.82;91.13;0.26;97.93;4.57;1.9
50.09881;18.47511;2000;72;1.03;2.79;74.77;-2.97;99.08;13.1;1.17
50.09881;18.47511;2000;73;0.03;1.87;78.07;-2.47;99.48;9.04;0.97
